;2025;2030;2035;2040;2045;2050
0;5,9675E-05;5,9675E-05;5,9675E-05;5,9675E-05;5,9675E-05;5,9675E-05
1;5,25917E-05;5,25917E-05;5,25917E-05;5,25917E-05;5,25917E-05;5,25917E-05
2;4,59057E-05;4,59057E-05;4,59057E-05;4,59057E-05;4,59057E-05;4,59057E-05
3;4,21777E-05;4,21777E-05;4,21777E-05;4,21777E-05;4,21777E-05;4,21777E-05
4;4,16308E-05;4,16308E-05;4,16308E-05;4,16308E-05;4,16308E-05;4,16308E-05
5;4,37933E-05;4,37933E-05;4,37933E-05;4,37933E-05;4,37933E-05;4,37933E-05
6;4,92613E-05;4,92613E-05;4,92613E-05;4,92613E-05;4,92613E-05;4,92613E-05
7;5,1001E-05;5,1001E-05;5,1001E-05;5,1001E-05;5,1001E-05;5,1001E-05
8;4,89382E-05;4,89382E-05;4,89382E-05;4,89382E-05;4,89382E-05;4,89382E-05
9;5,51019E-05;5,51019E-05;5,51019E-05;5,51019E-05;5,51019E-05;5,51019E-05
10;6,56151E-05;6,56151E-05;6,56151E-05;6,56151E-05;6,56151E-05;6,56151E-05
11;7,23753E-05;7,23753E-05;7,23753E-05;7,23753E-05;7,23753E-05;7,23753E-05
12;7,73215E-05;7,73215E-05;7,73215E-05;7,73215E-05;7,73215E-05;7,73215E-05
13;7,96082E-05;7,96082E-05;7,96082E-05;7,96082E-05;7,96082E-05;7,96082E-05
14;7,4041E-05;7,4041E-05;7,4041E-05;7,4041E-05;7,4041E-05;7,4041E-05
15;6,57644E-05;6,57644E-05;6,57644E-05;6,57644E-05;6,57644E-05;6,57644E-05
16;6,20115E-05;6,20115E-05;6,20115E-05;6,20115E-05;6,20115E-05;6,20115E-05
17;7,85146E-05;7,85146E-05;7,85146E-05;7,85146E-05;7,85146E-05;7,85146E-05
18;9,13889E-05;9,13889E-05;9,13889E-05;9,13889E-05;9,13889E-05;9,13889E-05
19;9,34769E-05;9,34769E-05;9,34769E-05;9,34769E-05;9,34769E-05;9,34769E-05
20;8,868E-05;8,868E-05;8,868E-05;8,868E-05;8,868E-05;8,868E-05
21;7,78186E-05;7,78186E-05;7,78186E-05;7,78186E-05;7,78186E-05;7,78186E-05
22;6,97165E-05;6,97165E-05;6,97165E-05;6,97165E-05;6,97165E-05;6,97165E-05
23;6,13654E-05;6,13654E-05;6,13654E-05;6,13654E-05;6,13654E-05;6,13654E-05
24;5,9675E-05;5,9675E-05;5,9675E-05;5,9675E-05;5,9675E-05;5,9675E-05
25;5,25917E-05;5,25917E-05;5,25917E-05;5,25917E-05;5,25917E-05;5,25917E-05
26;4,59057E-05;4,59057E-05;4,59057E-05;4,59057E-05;4,59057E-05;4,59057E-05
27;4,21777E-05;4,21777E-05;4,21777E-05;4,21777E-05;4,21777E-05;4,21777E-05
28;4,16308E-05;4,16308E-05;4,16308E-05;4,16308E-05;4,16308E-05;4,16308E-05
29;4,37933E-05;4,37933E-05;4,37933E-05;4,37933E-05;4,37933E-05;4,37933E-05
30;4,92613E-05;4,92613E-05;4,92613E-05;4,92613E-05;4,92613E-05;4,92613E-05
31;5,1001E-05;5,1001E-05;5,1001E-05;5,1001E-05;5,1001E-05;5,1001E-05
32;4,89382E-05;4,89382E-05;4,89382E-05;4,89382E-05;4,89382E-05;4,89382E-05
33;5,51019E-05;5,51019E-05;5,51019E-05;5,51019E-05;5,51019E-05;5,51019E-05
34;6,56151E-05;6,56151E-05;6,56151E-05;6,56151E-05;6,56151E-05;6,56151E-05
35;7,23753E-05;7,23753E-05;7,23753E-05;7,23753E-05;7,23753E-05;7,23753E-05
36;7,73215E-05;7,73215E-05;7,73215E-05;7,73215E-05;7,73215E-05;7,73215E-05
37;7,96082E-05;7,96082E-05;7,96082E-05;7,96082E-05;7,96082E-05;7,96082E-05
38;7,4041E-05;7,4041E-05;7,4041E-05;7,4041E-05;7,4041E-05;7,4041E-05
39;6,57644E-05;6,57644E-05;6,57644E-05;6,57644E-05;6,57644E-05;6,57644E-05
40;6,20115E-05;6,20115E-05;6,20115E-05;6,20115E-05;6,20115E-05;6,20115E-05
41;7,85146E-05;7,85146E-05;7,85146E-05;7,85146E-05;7,85146E-05;7,85146E-05
42;9,13889E-05;9,13889E-05;9,13889E-05;9,13889E-05;9,13889E-05;9,13889E-05
43;9,34769E-05;9,34769E-05;9,34769E-05;9,34769E-05;9,34769E-05;9,34769E-05
44;8,868E-05;8,868E-05;8,868E-05;8,868E-05;8,868E-05;8,868E-05
45;7,78186E-05;7,78186E-05;7,78186E-05;7,78186E-05;7,78186E-05;7,78186E-05
46;6,97165E-05;6,97165E-05;6,97165E-05;6,97165E-05;6,97165E-05;6,97165E-05
47;6,13654E-05;6,13654E-05;6,13654E-05;6,13654E-05;6,13654E-05;6,13654E-05
48;6,08184E-05;6,08184E-05;6,08184E-05;6,08184E-05;6,08184E-05;6,08184E-05
49;5,2219E-05;5,2219E-05;5,2219E-05;5,2219E-05;5,2219E-05;5,2219E-05
50;4,80929E-05;4,80929E-05;4,80929E-05;4,80929E-05;4,80929E-05;4,80929E-05
