;2025;2030;2035;2040;2045;2050
0;0,000220594;0,000220594;0,000220594;0,000220594;0,000220594;0,000220594
1;0,000226404;0,000226404;0,000226404;0,000226404;0,000226404;0,000226404
2;0,000231884;0,000231884;0,000231884;0,000231884;0,000231884;0,000231884
3;0,00022169;0,00022169;0,00022169;0,00022169;0,00022169;0,00022169
4;0,000237131;0,000237131;0,000237131;0,000237131;0,000237131;0,000237131
5;0,000232589;0,000232589;0,000232589;0,000232589;0,000232589;0,000232589
6;0,00034703;0,00034703;0,00034703;0,00034703;0,00034703;0,00034703
7;0,000417682;0,000417682;0,000417682;0,000417682;0,000417682;0,000417682
8;0,00040035;0,00040035;0,00040035;0,00040035;0,00040035;0,00040035
9;0,000371689;0,000371689;0,000371689;0,000371689;0,000371689;0,000371689
10;0,000381458;0,000381458;0,000381458;0,000381458;0,000381458;0,000381458
11;0,000362941;0,000362941;0,000362941;0,000362941;0,000362941;0,000362941
12;0,00033871;0,00033871;0,00033871;0,00033871;0,00033871;0,00033871
13;0,000340124;0,000340124;0,000340124;0,000340124;0,000340124;0,000340124
14;0,000317984;0,000317984;0,000317984;0,000317984;0,000317984;0,000317984
15;0,000256611;0,000256611;0,000256611;0,000256611;0,000256611;0,000256611
16;0,000265939;0,000265939;0,000265939;0,000265939;0,000265939;0,000265939
17;0,000233704;0,000233704;0,000233704;0,000233704;0,000233704;0,000233704
18;0,000191586;0,000191586;0,000191586;0,000191586;0,000191586;0,000191586
19;0,000187164;0,000187164;0,000187164;0,000187164;0,000187164;0,000187164
20;0,000200979;0,000200979;0,000200979;0,000200979;0,000200979;0,000200979
21;0,000201606;0,000201606;0,000201606;0,000201606;0,000201606;0,000201606
22;0,000173952;0,000173952;0,000173952;0,000173952;0,000173952;0,000173952
23;0,000188769;0,000188769;0,000188769;0,000188769;0,000188769;0,000188769
24;0,000251342;0,000251342;0,000251342;0,000251342;0,000251342;0,000251342
25;0,000249403;0,000249403;0,000249403;0,000249403;0,000249403;0,000249403
26;0,000249431;0,000249431;0,000249431;0,000249431;0,000249431;0,000249431
27;0,000294295;0,000294295;0,000294295;0,000294295;0,000294295;0,000294295
28;0,000306154;0,000306154;0,000306154;0,000306154;0,000306154;0,000306154
29;0,000360409;0,000360409;0,000360409;0,000360409;0,000360409;0,000360409
30;0,000345;0,000345;0,000345;0,000345;0,000345;0,000345
31;0,000389277;0,000389277;0,000389277;0,000389277;0,000389277;0,000389277
32;0,000360362;0,000360362;0,000360362;0,000360362;0,000360362;0,000360362
33;0,000349781;0,000349781;0,000349781;0,000349781;0,000349781;0,000349781
34;0,000338041;0,000338041;0,000338041;0,000338041;0,000338041;0,000338041
35;0,000312194;0,000312194;0,000312194;0,000312194;0,000312194;0,000312194
36;0,000284369;0,000284369;0,000284369;0,000284369;0,000284369;0,000284369
37;0,000285793;0,000285793;0,000285793;0,000285793;0,000285793;0,000285793
38;0,000257762;0,000257762;0,000257762;0,000257762;0,000257762;0,000257762
39;0,000267704;0,000267704;0,000267704;0,000267704;0,000267704;0,000267704
40;0,000264246;0,000264246;0,000264246;0,000264246;0,000264246;0,000264246
41;0,000277285;0,000277285;0,000277285;0,000277285;0,000277285;0,000277285
42;0,000272475;0,000272475;0,000272475;0,000272475;0,000272475;0,000272475
43;0,000255538;0,000255538;0,000255538;0,000255538;0,000255538;0,000255538
44;0,000239181;0,000239181;0,000239181;0,000239181;0,000239181;0,000239181
45;0,000262756;0,000262756;0,000262756;0,000262756;0,000262756;0,000262756
46;0,00026285;0,00026285;0,00026285;0,00026285;0,00026285;0,00026285
47;0,000270195;0,000270195;0,000270195;0,000270195;0,000270195;0,000270195
48;0,000235538;0,000235538;0,000235538;0,000235538;0,000235538;0,000235538
49;0,000239361;0,000239361;0,000239361;0,000239361;0,000239361;0,000239361
50;0,000240541;0,000240541;0,000240541;0,000240541;0,000240541;0,000240541
51;0,00024757;0,00024757;0,00024757;0,00024757;0,00024757;0,00024757
52;0,000252502;0,000252502;0,000252502;0,000252502;0,000252502;0,000252502
53;0,00030629;0,00030629;0,00030629;0,00030629;0,00030629;0,00030629
54;0,00042716;0,00042716;0,00042716;0,00042716;0,00042716;0,00042716
55;0,000521549;0,000521549;0,000521549;0,000521549;0,000521549;0,000521549
56;0,000528486;0,000528486;0,000528486;0,000528486;0,000528486;0,000528486
57;0,000520229;0,000520229;0,000520229;0,000520229;0,000520229;0,000520229
58;0,000495941;0,000495941;0,000495941;0,000495941;0,000495941;0,000495941
59;0,000486381;0,000486381;0,000486381;0,000486381;0,000486381;0,000486381
60;0,000451834;0,000451834;0,000451834;0,000451834;0,000451834;0,000451834
61;0,000410832;0,000410832;0,000410832;0,000410832;0,000410832;0,000410832
62;0,000417375;0,000417375;0,000417375;0,000417375;0,000417375;0,000417375
63;0,000397979;0,000397979;0,000397979;0,000397979;0,000397979;0,000397979
64;0,000370207;0,000370207;0,000370207;0,000370207;0,000370207;0,000370207
65;0,000365417;0,000365417;0,000365417;0,000365417;0,000365417;0,000365417
66;0,000339445;0,000339445;0,000339445;0,000339445;0,000339445;0,000339445
67;0,000288976;0,000288976;0,000288976;0,000288976;0,000288976;0,000288976
68;0,000237822;0,000237822;0,000237822;0,000237822;0,000237822;0,000237822
69;0,000228097;0,000228097;0,000228097;0,000228097;0,000228097;0,000228097
70;0,000230875;0,000230875;0,000230875;0,000230875;0,000230875;0,000230875
71;0,000240171;0,000240171;0,000240171;0,000240171;0,000240171;0,000240171
72;0,000270634;0,000270634;0,000270634;0,000270634;0,000270634;0,000270634
73;0,000274139;0,000274139;0,000274139;0,000274139;0,000274139;0,000274139
74;0,000286969;0,000286969;0,000286969;0,000286969;0,000286969;0,000286969
75;0,000295884;0,000295884;0,000295884;0,000295884;0,000295884;0,000295884
76;0,000298863;0,000298863;0,000298863;0,000298863;0,000298863;0,000298863
77;0,000334628;0,000334628;0,000334628;0,000334628;0,000334628;0,000334628
78;0,000439429;0,000439429;0,000439429;0,000439429;0,000439429;0,000439429
79;0,000516586;0,000516586;0,000516586;0,000516586;0,000516586;0,000516586
80;0,000550073;0,000550073;0,000550073;0,000550073;0,000550073;0,000550073
81;0,000550306;0,000550306;0,000550306;0,000550306;0,000550306;0,000550306
82;0,000547588;0,000547588;0,000547588;0,000547588;0,000547588;0,000547588
