index;2025;2030;2035;2040;2045;2050
0;8,19E-05;7,81E-05;8,35E-05;7,98E-05;8,39E-05;8,39E-05
1;3,08E-05;3,12E-05;3,14E-05;3,14E-05;3,08E-05;3,08E-05
2;3,19E-05;3,21E-05;3,26E-05;3,23E-05;3,22E-05;3,22E-05
3;3,31E-05;3,36E-05;3,39E-05;3,38E-05;3,32E-05;3,32E-05
4;3,54E-05;3,61E-05;3,55E-05;3,53E-05;3,54E-05;3,54E-05
5;3,93E-05;3,98E-05;4,00E-05;3,93E-05;3,94E-05;3,94E-05
6;4,14E-05;4,21E-05;4,19E-05;4,18E-05;4,18E-05;4,18E-05
7;5,94E-05;6,08E-05;6,15E-05;5,83E-05;5,87E-05;5,87E-05
8;1,10E-04;1,11E-04;1,10E-04;1,05E-04;1,07E-04;1,07E-04
9;1,67E-04;1,60E-04;1,57E-04;1,54E-04;1,65E-04;1,65E-04
10;1,87E-04;1,87E-04;1,93E-04;1,83E-04;1,98E-04;1,98E-04
11;1,74E-04;1,64E-04;1,68E-04;1,61E-04;1,71E-04;1,71E-04
12;1,27E-04;1,20E-04;1,30E-04;1,23E-04;1,24E-04;1,24E-04
13;1,15E-04;1,17E-04;1,26E-04;1,21E-04;1,14E-04;1,14E-04
14;1,71E-04;1,67E-04;1,82E-04;1,75E-04;1,54E-04;1,54E-04
15;2,19E-04;2,11E-04;2,14E-04;2,19E-04;2,01E-04;2,01E-04
16;2,06E-04;1,98E-04;1,92E-04;1,99E-04;2,03E-04;2,03E-04
17;1,34E-04;1,30E-04;1,35E-04;1,29E-04;1,32E-04;1,32E-04
18;1,38E-04;1,37E-04;1,41E-04;1,40E-04;1,38E-04;1,38E-04
19;2,03E-04;2,10E-04;2,08E-04;2,12E-04;2,05E-04;2,05E-04
20;2,23E-04;2,22E-04;2,25E-04;2,20E-04;2,20E-04;2,20E-04
21;1,77E-04;1,76E-04;1,75E-04;1,80E-04;1,77E-04;1,77E-04
22;1,56E-04;1,52E-04;1,56E-04;1,45E-04;1,48E-04;1,48E-04
23;1,46E-04;1,40E-04;1,42E-04;1,47E-04;1,48E-04;1,48E-04
24;3,36E-05;3,23E-05;3,27E-05;3,21E-05;3,28E-05;3,28E-05
25;3,44E-05;3,33E-05;3,41E-05;3,38E-05;3,36E-05;3,36E-05
26;3,56E-05;3,45E-05;3,59E-05;3,52E-05;3,54E-05;3,54E-05
27;3,66E-05;3,65E-05;3,65E-05;3,67E-05;3,69E-05;3,69E-05
28;3,88E-05;3,80E-05;3,90E-05;3,86E-05;3,94E-05;3,94E-05
29;4,36E-05;4,30E-05;4,34E-05;4,33E-05;4,32E-05;4,32E-05
30;8,30E-05;7,95E-05;7,98E-05;7,61E-05;8,25E-05;8,25E-05
