;2025;2030;2035;2040;2045;2050
0;4,2854E-05;4,2854E-05;4,2854E-05;4,2854E-05;4,2854E-05;4,2854E-05
1;4,4016E-05;4,4016E-05;4,4016E-05;4,4016E-05;4,4016E-05;4,4016E-05
2;4,8015E-05;4,8015E-05;4,8015E-05;4,8015E-05;4,8015E-05;4,8015E-05
3;4,8613E-05;4,8613E-05;4,8613E-05;4,8613E-05;4,8613E-05;4,8613E-05
4;5,0609E-05;5,0609E-05;5,0609E-05;5,0609E-05;5,0609E-05;5,0609E-05
5;5,1115E-05;5,1115E-05;5,1115E-05;5,1115E-05;5,1115E-05;5,1115E-05
6;5,0777E-05;5,0777E-05;5,0777E-05;5,0777E-05;5,0777E-05;5,0777E-05
7;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05
8;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05
9;5,0432E-05;5,0432E-05;5,0432E-05;5,0432E-05;5,0432E-05;5,0432E-05
10;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05
11;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05
12;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05
13;4,6263E-05;4,6263E-05;4,6263E-05;4,6263E-05;4,6263E-05;4,6263E-05
14;4,6338E-05;4,6338E-05;4,6338E-05;4,6338E-05;4,6338E-05;4,6338E-05
15;4,6148E-05;4,6148E-05;4,6148E-05;4,6148E-05;4,6148E-05;4,6148E-05
16;4,7495E-05;4,7495E-05;4,7495E-05;4,7495E-05;4,7495E-05;4,7495E-05
17;5,5095E-05;5,5095E-05;5,5095E-05;5,5095E-05;5,5095E-05;5,5095E-05
18;5,785E-05;5,785E-05;5,785E-05;5,785E-05;5,785E-05;5,785E-05
19;5,9778E-05;5,9778E-05;5,9778E-05;5,9778E-05;5,9778E-05;5,9778E-05
20;6,0648E-05;6,0648E-05;6,0648E-05;6,0648E-05;6,0648E-05;6,0648E-05
21;6,2966E-05;6,2966E-05;6,2966E-05;6,2966E-05;6,2966E-05;6,2966E-05
22;6,517E-05;6,517E-05;6,517E-05;6,517E-05;6,517E-05;6,517E-05
23;7,0756E-05;7,0756E-05;7,0756E-05;7,0756E-05;7,0756E-05;7,0756E-05
24;4,2854E-05;4,2854E-05;4,2854E-05;4,2854E-05;4,2854E-05;4,2854E-05
25;4,4016E-05;4,4016E-05;4,4016E-05;4,4016E-05;4,4016E-05;4,4016E-05
26;4,8015E-05;4,8015E-05;4,8015E-05;4,8015E-05;4,8015E-05;4,8015E-05
27;4,8613E-05;4,8613E-05;4,8613E-05;4,8613E-05;4,8613E-05;4,8613E-05
28;5,0609E-05;5,0609E-05;5,0609E-05;5,0609E-05;5,0609E-05;5,0609E-05
29;5,1115E-05;5,1115E-05;5,1115E-05;5,1115E-05;5,1115E-05;5,1115E-05
30;5,0777E-05;5,0777E-05;5,0777E-05;5,0777E-05;5,0777E-05;5,0777E-05
31;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05
32;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05;5,0412E-05
33;5,0432E-05;5,0432E-05;5,0432E-05;5,0432E-05;5,0432E-05;5,0432E-05
34;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05
35;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05
36;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05;5,0963E-05
37;4,6263E-05;4,6263E-05;4,6263E-05;4,6263E-05;4,6263E-05;4,6263E-05
38;4,6338E-05;4,6338E-05;4,6338E-05;4,6338E-05;4,6338E-05;4,6338E-05
39;4,6148E-05;4,6148E-05;4,6148E-05;4,6148E-05;4,6148E-05;4,6148E-05
40;4,7495E-05;4,7495E-05;4,7495E-05;4,7495E-05;4,7495E-05;4,7495E-05
41;5,5095E-05;5,5095E-05;5,5095E-05;5,5095E-05;5,5095E-05;5,5095E-05
42;5,785E-05;5,785E-05;5,785E-05;5,785E-05;5,785E-05;5,785E-05
43;5,9778E-05;5,9778E-05;5,9778E-05;5,9778E-05;5,9778E-05;5,9778E-05
44;6,0648E-05;6,0648E-05;6,0648E-05;6,0648E-05;6,0648E-05;6,0648E-05
45;6,2966E-05;6,2966E-05;6,2966E-05;6,2966E-05;6,2966E-05;6,2966E-05
46;6,517E-05;6,517E-05;6,517E-05;6,517E-05;6,517E-05;6,517E-05
47;7,0756E-05;7,0756E-05;7,0756E-05;7,0756E-05;7,0756E-05;7,0756E-05
48;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994
49;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472
50;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333
51;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657
52;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961
53;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819
54;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254
55;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219
56;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929
57;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333
58;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921
59;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131
60;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348
61;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398
62;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863
63;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727
64;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787
65;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363
66;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436
67;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407
68;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359
69;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855
70;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091
71;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039
72;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994
73;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472
74;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333
75;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657
76;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961
77;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819
78;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254
79;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219
80;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929
81;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333
82;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921
83;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131
84;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348
85;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398
86;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863
87;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727
88;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787
89;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363
90;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436
91;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407
92;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359
93;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855
94;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091
95;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039
96;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994
97;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472
98;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333
99;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657
100;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961
101;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819
102;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254
103;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219
104;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929
105;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333
106;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921
107;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131
108;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348
109;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398
110;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863
111;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727
112;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787
113;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363
114;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436
115;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407
116;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359
117;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855
118;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091
119;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039
120;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994
121;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472
122;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333
123;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657
124;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961
125;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819
126;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254
127;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219
128;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929
129;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333
130;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921
131;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131
132;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348
133;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398
134;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863
135;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727;0,000179727
136;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787;0,000174787
137;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363;0,000162363
138;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436;0,000149436
139;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407;0,000139407
140;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359;0,00013359
141;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855;0,000124855
142;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091;0,000112091
143;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039;0,000112039
144;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994;0,000108994
145;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472;0,000105472
146;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333;0,000107333
147;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657;0,000111657
148;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961;0,000132961
149;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819;0,00015819
150;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254;0,000188254
151;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219;0,000196219
152;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929;0,00019929
153;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333;0,000200333
154;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921;0,000198921
155;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131;0,000196131
156;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348;0,000194348
157;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398;0,000192398
158;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863;0,000190863
