index;2025;2030;2035;2040;2045;2050
0;1,05E-04;1,05E-04;1,05E-04;1,05E-04;1,05E-04;1,05E-04
1;1,21E-04;1,21E-04;1,21E-04;1,21E-04;1,21E-04;1,21E-04
2;1,35E-04;1,35E-04;1,35E-04;1,35E-04;1,35E-04;1,35E-04
3;1,45E-04;1,45E-04;1,45E-04;1,45E-04;1,45E-04;1,45E-04
4;1,55E-04;1,55E-04;1,55E-04;1,54E-04;1,54E-04;1,54E-04
5;1,63E-04;1,63E-04;1,63E-04;1,62E-04;1,62E-04;1,62E-04
6;1,70E-04;1,70E-04;1,70E-04;1,69E-04;1,69E-04;1,69E-04
7;1,77E-04;1,77E-04;1,76E-04;1,76E-04;1,76E-04;1,76E-04
8;1,84E-04;1,83E-04;1,83E-04;1,83E-04;1,83E-04;1,83E-04
9;1,83E-04;1,83E-04;1,82E-04;1,82E-04;1,82E-04;1,82E-04
10;1,78E-04;1,78E-04;1,78E-04;1,77E-04;1,77E-04;1,77E-04
11;1,67E-04;1,67E-04;1,67E-04;1,67E-04;1,67E-04;1,67E-04
12;1,57E-04;1,57E-04;1,57E-04;1,57E-04;1,57E-04;1,57E-04
13;1,57E-04;1,57E-04;1,57E-04;1,56E-04;1,56E-04;1,56E-04
14;1,59E-04;1,59E-04;1,59E-04;1,59E-04;1,59E-04;1,59E-04
15;1,63E-04;1,63E-04;1,63E-04;1,63E-04;1,62E-04;1,62E-04
16;1,61E-04;1,61E-04;1,61E-04;1,61E-04;1,61E-04;1,60E-04
17;1,62E-04;1,61E-04;1,61E-04;1,61E-04;1,61E-04;1,61E-04
18;1,63E-04;1,63E-04;1,62E-04;1,62E-04;1,62E-04;1,62E-04
19;1,65E-04;1,65E-04;1,64E-04;1,64E-04;1,64E-04;1,64E-04
20;1,66E-04;1,66E-04;1,66E-04;1,66E-04;1,66E-04;1,65E-04
21;1,68E-04;1,68E-04;1,68E-04;1,68E-04;1,68E-04;1,68E-04
22;1,71E-04;1,71E-04;1,70E-04;1,70E-04;1,70E-04;1,70E-04
23;1,73E-04;1,73E-04;1,73E-04;1,73E-04;1,73E-04;1,72E-04
24;1,75E-04;1,75E-04;1,74E-04;1,74E-04;1,74E-04;1,74E-04
25;1,76E-04;1,76E-04;1,76E-04;1,76E-04;1,76E-04;1,76E-04
26;1,77E-04;1,77E-04;1,77E-04;1,77E-04;1,76E-04;1,76E-04
27;1,78E-04;1,78E-04;1,77E-04;1,77E-04;1,77E-04;1,77E-04
28;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,77E-04;1,77E-04
29;1,79E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04
30;1,79E-04;1,79E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04
31;1,81E-04;1,80E-04;1,80E-04;1,80E-04;1,80E-04;1,80E-04
32;1,83E-04;1,83E-04;1,83E-04;1,82E-04;1,82E-04;1,82E-04
33;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04
34;1,67E-04;1,67E-04;1,67E-04;1,67E-04;1,66E-04;1,66E-04
35;1,49E-04;1,49E-04;1,49E-04;1,49E-04;1,49E-04;1,49E-04
36;1,37E-04;1,37E-04;1,37E-04;1,37E-04;1,37E-04;1,37E-04
37;1,33E-04;1,32E-04;1,32E-04;1,32E-04;1,32E-04;1,32E-04
38;1,36E-04;1,36E-04;1,36E-04;1,36E-04;1,36E-04;1,36E-04
39;1,39E-04;1,39E-04;1,39E-04;1,39E-04;1,38E-04;1,38E-04
40;1,36E-04;1,36E-04;1,36E-04;1,36E-04;1,36E-04;1,36E-04
41;1,37E-04;1,37E-04;1,36E-04;1,36E-04;1,36E-04;1,36E-04
42;1,38E-04;1,38E-04;1,38E-04;1,38E-04;1,38E-04;1,38E-04
43;1,41E-04;1,41E-04;1,41E-04;1,41E-04;1,40E-04;1,40E-04
44;1,44E-04;1,44E-04;1,44E-04;1,43E-04;1,43E-04;1,43E-04
45;1,46E-04;1,46E-04;1,46E-04;1,46E-04;1,46E-04;1,46E-04
46;1,49E-04;1,49E-04;1,49E-04;1,49E-04;1,49E-04;1,49E-04
47;1,53E-04;1,53E-04;1,53E-04;1,53E-04;1,53E-04;1,52E-04
48;1,58E-04;1,57E-04;1,57E-04;1,57E-04;1,57E-04;1,57E-04
49;1,61E-04;1,61E-04;1,61E-04;1,61E-04;1,61E-04;1,61E-04
50;1,67E-04;1,67E-04;1,67E-04;1,67E-04;1,67E-04;1,67E-04
51;1,71E-04;1,71E-04;1,70E-04;1,70E-04;1,70E-04;1,70E-04
52;1,74E-04;1,74E-04;1,74E-04;1,74E-04;1,73E-04;1,73E-04
