index;2025;2030;2035;2040;2045;2050
0;4,68E-06;4,68E-06;4,68E-06;4,68E-06;4,68E-06;4,68E-06
1;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06
2;1,08E-06;1,08E-06;1,08E-06;1,08E-06;1,08E-06;1,08E-06
3;4,73E-06;4,73E-06;4,73E-06;4,73E-06;4,73E-06;4,73E-06
4;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06
5;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06
6;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06
7;1,26E-05;1,26E-05;1,26E-05;1,26E-05;1,26E-05;1,26E-05
8;1,08E-05;1,08E-05;1,08E-05;1,08E-05;1,08E-05;1,08E-05
9;6,29E-05;6,29E-05;6,29E-05;6,29E-05;6,29E-05;6,29E-05
10;5,01E-05;5,01E-05;5,01E-05;5,01E-05;5,01E-05;5,01E-05
11;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05
12;5,86E-05;5,86E-05;5,86E-05;5,86E-05;5,86E-05;5,86E-05
13;7,97E-05;7,97E-05;7,97E-05;7,97E-05;7,97E-05;7,97E-05
14;7,13E-05;7,13E-05;7,13E-05;7,13E-05;7,13E-05;7,13E-05
15;1,39E-04;1,39E-04;1,39E-04;1,39E-04;1,39E-04;1,39E-04
16;8,19E-05;8,19E-05;8,19E-05;8,19E-05;8,19E-05;8,19E-05
17;7,75E-05;7,75E-05;7,75E-05;7,75E-05;7,75E-05;7,75E-05
18;5,01E-05;5,01E-05;5,01E-05;5,01E-05;5,01E-05;5,01E-05
19;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05
20;5,80E-05;5,80E-05;5,80E-05;5,80E-05;5,80E-05;5,80E-05
21;2,17E-05;2,17E-05;2,17E-05;2,17E-05;2,17E-05;2,17E-05
22;5,37E-06;5,37E-06;5,37E-06;5,37E-06;5,37E-06;5,37E-06
23;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06
24;6,30E-06;6,30E-06;6,30E-06;6,30E-06;6,30E-06;6,30E-06
25;3,81E-05;3,81E-05;3,81E-05;3,81E-05;3,81E-05;3,81E-05
26;1,23E-04;1,23E-04;1,23E-04;1,23E-04;1,23E-04;1,23E-04
27;1,21E-04;1,21E-04;1,21E-04;1,21E-04;1,21E-04;1,21E-04
28;1,72E-04;1,72E-04;1,72E-04;1,72E-04;1,72E-04;1,72E-04
29;1,21E-04;1,21E-04;1,21E-04;1,21E-04;1,21E-04;1,21E-04
30;1,42E-04;1,42E-04;1,42E-04;1,42E-04;1,42E-04;1,42E-04
31;5,18E-05;5,18E-05;5,18E-05;5,18E-05;5,18E-05;5,18E-05
32;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05
33;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05
34;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05;3,69E-05
35;2,33E-05;2,33E-05;2,33E-05;2,33E-05;2,33E-05;2,33E-05
36;5,43E-05;5,43E-05;5,43E-05;5,43E-05;5,43E-05;5,43E-05
37;7,67E-05;7,67E-05;7,67E-05;7,67E-05;7,67E-05;7,67E-05
38;4,27E-05;4,27E-05;4,27E-05;4,27E-05;4,27E-05;4,27E-05
39;6,28E-05;6,28E-05;6,28E-05;6,28E-05;6,28E-05;6,28E-05
40;4,12E-05;4,12E-05;4,12E-05;4,12E-05;4,12E-05;4,12E-05
41;3,68E-05;3,68E-05;3,68E-05;3,68E-05;3,68E-05;3,68E-05
42;1,53E-05;1,53E-05;1,53E-05;1,53E-05;1,53E-05;1,53E-05
43;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06;5,30E-06
44;1,08E-06;1,08E-06;1,08E-06;1,08E-06;1,08E-06;1,08E-06
45;3,79E-07;3,79E-07;3,79E-07;3,79E-07;3,79E-07;3,79E-07
46;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
47;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
48;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
49;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
50;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
51;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
52;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
53;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
54;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
55;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
56;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
57;3,79E-07;3,79E-07;3,79E-07;3,79E-07;3,79E-07;3,79E-07
