index;2025;2030;2035;2040;2045;2050
0;0;0;0;0;0;0
1;0;0;0;0;0;0
2;0;0;0;0;0;0
3;0;0;0;0;0;0
4;0;0;0;0;0;0
5;0;0;0;0;0;0
6;0;0;0;0;0;0
7;0;0;0;0;0;0
8;0;0;0;0;0;0
9;6,56132E-05;6,56132E-05;6,56132E-05;6,56132E-05;6,56132E-05;6,56132E-05
10;4,13874E-05;4,13874E-05;4,13874E-05;4,13874E-05;4,13874E-05;4,13874E-05
11;0,000129726;0,000129726;0,000129726;0,000129726;0,000129726;0,000129726
12;0,000204037;0,000204037;0,000204037;0,000204037;0,000204037;0,000204037
13;0,000189467;0,000189467;0,000189467;0,000189467;0,000189467;0,000189467
14;0,000322195;0,000322195;0,000322195;0,000322195;0,000322195;0,000322195
15;5,27095E-05;5,27095E-05;5,27095E-05;5,27095E-05;5,27095E-05;5,27095E-05
16;1,08619E-07;1,08619E-07;1,08619E-07;1,08619E-07;1,08619E-07;1,08619E-07
17;0;0;0;0;0;0
18;0;0;0;0;0;0
19;0;0;0;0;0;0
20;0;0;0;0;0;0
21;0;0;0;0;0;0
22;0;0;0;0;0;0
23;0;0;0;0;0;0
24;0;0;0;0;0;0
25;0;0;0;0;0;0
26;0;0;0;0;0;0
27;0;0;0;0;0;0
28;0;0;0;0;0;0
29;0;0;0;0;0;0
30;0;0;0;0;0;0
31;0;0;0;0;0;0
32;0;0;0;0;0;0
33;1,09751E-05;1,09751E-05;1,09751E-05;1,09751E-05;1,09751E-05;1,09751E-05
34;2,67492E-05;2,67492E-05;2,67492E-05;2,67492E-05;2,67492E-05;2,67492E-05
35;3,31518E-05;3,31518E-05;3,31518E-05;3,31518E-05;3,31518E-05;3,31518E-05
36;3,99326E-05;3,99326E-05;3,99326E-05;3,99326E-05;3,99326E-05;3,99326E-05
37;4,80282E-05;4,80282E-05;4,80282E-05;4,80282E-05;4,80282E-05;4,80282E-05
38;3,20692E-05;3,20692E-05;3,20692E-05;3,20692E-05;3,20692E-05;3,20692E-05
39;1,06018E-05;1,06018E-05;1,06018E-05;1,06018E-05;1,06018E-05;1,06018E-05
40;6,74E-08;6,74E-08;6,74E-08;6,74E-08;6,74E-08;6,74E-08
41;0;0;0;0;0;0
42;0;0;0;0;0;0
43;0;0;0;0;0;0
44;0;0;0;0;0;0
45;0;0;0;0;0;0
46;0;0;0;0;0;0
47;0;0;0;0;0;0
48;0;0;0;0;0;0
49;0;0;0;0;0;0
50;0;0;0;0;0;0
51;0;0;0;0;0;0
52;0;0;0;0;0;0
53;0;0;0;0;0;0
54;0;0;0;0;0;0
55;0;0;0;0;0;0
56;0;0;0;0;0;0
57;0,000151197;0,000151197;0,000151197;0,000151197;0,000151197;0,000151197
58;0,000287939;0,000287939;0,000287939;0,000287939;0,000287939;0,000287939
59;0,000314009;0,000314009;0,000314009;0,000314009;0,000314009;0,000314009
60;0,000177129;0,000177129;0,000177129;0,000177129;0,000177129;0,000177129
61;0,000126888;0,000126888;0,000126888;0,000126888;0,000126888;0,000126888
62;0,000100474;0,000100474;0,000100474;0,000100474;0,000100474;0,000100474
63;3,8063E-05;3,8063E-05;3,8063E-05;3,8063E-05;3,8063E-05;3,8063E-05
64;6,42789E-07;6,42789E-07;6,42789E-07;6,42789E-07;6,42789E-07;6,42789E-07
65;0;0;0;0;0;0
66;0;0;0;0;0;0
67;0;0;0;0;0;0
68;0;0;0;0;0;0
69;0;0;0;0;0;0
70;0;0;0;0;0;0
71;0;0;0;0;0;0
72;0;0;0;0;0;0
73;0;0;0;0;0;0
74;0;0;0;0;0;0
75;0;0;0;0;0;0
76;0;0;0;0;0;0
77;0;0;0;0;0;0
78;0;0;0;0;0;0
79;0;0;0;0;0;0
80;0;0;0;0;0;0
81;0,000135181;0,000135181;0,000135181;0,000135181;0,000135181;0,000135181
82;0,000265932;0,000265932;0,000265932;0,000265932;0,000265932;0,000265932
83;0,000386603;0,000386603;0,000386603;0,000386603;0,000386603;0,000386603
84;0,000389066;0,000389066;0,000389066;0,000389066;0,000389066;0,000389066
85;0,000338666;0,000338666;0,000338666;0,000338666;0,000338666;0,000338666
86;0,000292316;0,000292316;0,000292316;0,000292316;0,000292316;0,000292316
87;0,000110423;0,000110423;0,000110423;0,000110423;0,000110423;0,000110423
88;3,70342E-07;3,70342E-07;3,70342E-07;3,70342E-07;3,70342E-07;3,70342E-07
89;0;0;0;0;0;0
90;0;0;0;0;0;0
91;0;0;0;0;0;0
92;0;0;0;0;0;0
93;0;0;0;0;0;0
94;0;0;0;0;0;0
95;0;0;0;0;0;0
96;0;0;0;0;0;0
97;0;0;0;0;0;0
98;0;0;0;0;0;0
99;0;0;0;0;0;0
100;0;0;0;0;0;0
101;0;0;0;0;0;0
102;0;0;0;0;0;0
103;0;0;0;0;0;0
104;0;0;0;0;0;0
105;8,10792E-06;8,10792E-06;8,10792E-06;8,10792E-06;8,10792E-06;8,10792E-06
106;2,85984E-05;2,85984E-05;2,85984E-05;2,85984E-05;2,85984E-05;2,85984E-05
107;3,90353E-05;3,90353E-05;3,90353E-05;3,90353E-05;3,90353E-05;3,90353E-05
108;4,61561E-05;4,61561E-05;4,61561E-05;4,61561E-05;4,61561E-05;4,61561E-05
109;3,91321E-05;3,91321E-05;3,91321E-05;3,91321E-05;3,91321E-05;3,91321E-05
110;2,74947E-05;2,74947E-05;2,74947E-05;2,74947E-05;2,74947E-05;2,74947E-05
111;1,03052E-05;1,03052E-05;1,03052E-05;1,03052E-05;1,03052E-05;1,03052E-05
112;8,47E-08;8,47E-08;8,47E-08;8,47E-08;8,47E-08;8,47E-08
113;0;0;0;0;0;0
114;0;0;0;0;0;0
115;0;0;0;0;0;0
116;0;0;0;0;0;0
117;0;0;0;0;0;0
118;0;0;0;0;0;0
119;0;0;0;0;0;0
