index;2025;2030;2035;2040;2045;2050
0;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
1;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
2;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
3;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
4;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
5;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
6;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
7;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
8;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
9;7,52E-02;7,52E-02;7,52E-02;7,52E-02;7,52E-02;7,52E-02
10;4,54E-02;4,54E-02;4,54E-02;4,54E-02;4,54E-02;4,54E-02
11;1,25E-01;1,25E-01;1,25E-01;1,25E-01;1,25E-01;1,25E-01
12;2,07E-01;2,07E-01;2,07E-01;2,07E-01;2,07E-01;2,07E-01
13;1,95E-01;1,95E-01;1,95E-01;1,95E-01;1,95E-01;1,95E-01
14;3,41E-01;3,41E-01;3,41E-01;3,41E-01;3,41E-01;3,41E-01
15;5,79E-02;5,79E-02;5,79E-02;5,79E-02;5,79E-02;5,79E-02
16;1,32E-04;1,32E-04;1,32E-04;1,32E-04;1,32E-04;1,32E-04
17;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
18;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
19;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
20;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
21;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
22;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
23;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
24;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
25;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
26;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
27;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
28;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
29;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
30;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
31;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
32;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
33;1,09E-02;1,09E-02;1,09E-02;1,09E-02;1,09E-02;1,09E-02
34;2,60E-02;2,60E-02;2,60E-02;2,60E-02;2,60E-02;2,60E-02
35;3,20E-02;3,20E-02;3,20E-02;3,20E-02;3,20E-02;3,20E-02
36;3,84E-02;3,84E-02;3,84E-02;3,84E-02;3,84E-02;3,84E-02
37;4,61E-02;4,61E-02;4,61E-02;4,61E-02;4,61E-02;4,61E-02
38;3,08E-02;3,08E-02;3,08E-02;3,08E-02;3,08E-02;3,08E-02
39;1,03E-02;1,03E-02;1,03E-02;1,03E-02;1,03E-02;1,03E-02
40;7,15E-05;7,15E-05;7,15E-05;7,15E-05;7,15E-05;7,15E-05
41;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
42;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
43;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
44;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
45;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
46;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
47;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
48;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
49;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
50;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
51;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
52;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
53;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
54;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
55;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
56;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
57;2,18E-01;2,18E-01;2,18E-01;2,18E-01;2,18E-01;2,18E-01
58;3,55E-01;3,55E-01;3,55E-01;3,55E-01;3,55E-01;3,55E-01
59;3,40E-01;3,40E-01;3,40E-01;3,40E-01;3,40E-01;3,40E-01
60;1,88E-01;1,88E-01;1,88E-01;1,88E-01;1,88E-01;1,88E-01
61;1,26E-01;1,26E-01;1,26E-01;1,26E-01;1,26E-01;1,26E-01
62;1,00E-01;1,00E-01;1,00E-01;1,00E-01;1,00E-01;1,00E-01
63;3,86E-02;3,86E-02;3,86E-02;3,86E-02;3,86E-02;3,86E-02
64;6,59E-04;6,59E-04;6,59E-04;6,59E-04;6,59E-04;6,59E-04
65;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
66;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
67;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
68;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
69;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
70;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
